iter	Passed	Remaining
0	47	47537
1	48	24004
2	49	16540
3	50	12578
4	52	10488
5	53	8845
6	54	7687
7	55	6837
8	55	6142
9	56	5577
10	56	5122
11	57	4744
12	58	4420
13	58	4144
14	60	3943
15	60	3725
16	61	3532
17	61	3360
18	62	3206
19	62	3067
20	63	2943
21	63	2829
22	64	2727
23	64	2635
24	65	2551
25	66	2480
26	66	2408
27	67	2337
28	67	2275
29	68	2215
30	69	2158
31	69	2105
32	70	2055
33	70	2008
34	71	1963
35	71	1919
36	72	1881
37	72	1841
38	73	1805
39	73	1770
40	74	1738
41	74	1706
42	75	1677
43	75	1648
44	76	1621
45	76	1596
46	77	1571
47	78	1547
48	78	1524
49	79	1502
50	79	1481
51	80	1460
52	80	1440
53	81	1420
54	81	1402
55	82	1384
56	82	1367
57	83	1350
58	83	1335
59	84	1320
60	84	1304
61	85	1290
62	85	1275
63	86	1262
64	86	1249
65	87	1236
66	87	1223
67	88	1211
68	88	1199
69	89	1187
70	89	1176
71	90	1165
72	90	1154
73	91	1144
74	91	1134
75	92	1127
76	93	1119
77	93	1109
78	94	1100
79	94	1091
80	95	1083
81	95	1074
82	96	1063
83	96	1054
84	97	1047
85	97	1039
86	98	1031
87	98	1024
88	99	1017
89	99	1010
90	100	1003
91	100	996
92	101	989
93	102	983
94	102	977
95	103	970
96	103	964
97	104	958
98	104	952
99	105	946
100	105	940
101	106	934
102	106	929
103	107	923
104	107	918
105	108	912
106	108	907
107	109	902
108	109	896
109	110	891
110	110	887
111	111	882
112	111	879
113	112	876
114	113	872
115	114	869
116	114	864
117	115	859
118	115	856
119	116	856
120	117	853
121	117	848
122	118	844
123	119	841
124	120	840
125	121	840
126	121	837
127	122	836
128	123	833
129	124	830
130	124	827
131	125	824
132	125	821
133	126	817
134	127	814
135	127	810
136	128	807
137	128	804
138	129	800
139	129	797
140	130	794
141	130	789
142	131	786
143	131	783
144	132	779
145	133	778
146	133	775
147	134	771
148	134	769
149	135	767
150	135	764
151	136	762
152	137	759
153	137	756
154	138	754
155	138	751
156	139	748
157	139	745
158	140	742
159	140	740
160	141	736
161	141	733
162	142	731
163	142	728
164	143	725
165	143	723
166	144	721
167	145	718
168	145	717
